code,noise,Distance,Error_Rate(p),Error_Type,model,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.64,89.11,0.0001,13,0.001,0.506132,0.548788
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.6,89.24,0.0001,14,0.001,0.502577,0.550794
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.32,89.32,0.0001,15,0.001,0.499325,0.552552
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.09,75.49,0.0001,1,0.001,0.936586,0.859403
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,81.84,79.36,0.0001,2,0.001,0.830813,0.809613
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,81.78,80.54,0.0001,3,0.001,0.800048,0.791621
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.61,80.38,0.0001,4,0.001,0.785754,0.781339
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.27,81.11,0.0001,5,0.001,0.77631,0.774879
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.12,81.61,0.0001,6,0.001,0.769216,0.769131
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,83.14,80.91,0.0001,7,0.001,0.76397,0.765414
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.9,81.34,0.0001,8,0.001,0.759627,0.762888
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.92,81.42,0.0001,9,0.001,0.756311,0.761144
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,83.25,81.24,0.0002,10,0.001,0.753468,0.758729
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,84.07,80.58,0.0002,11,0.001,0.751127,0.757602
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,83.77,80.86,0.0002,12,0.001,0.748924,0.757405
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,84.02,80.67,0.0002,13,0.001,0.747062,0.757171
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.37,82.26,0.0002,14,0.001,0.745511,0.756382
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,83.37,81.42,0.0001,15,0.001,0.744092,0.754721
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.05,X,CNN,82.96,81.86,0.0001,16,0.001,0.742706,0.754572
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,89.56,87.51,0.0004,1,0.001,0.685208,0.586271
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,91.62,87.57,0.0001,2,0.001,0.551931,0.542332
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,90.6,89.99,0.0001,3,0.001,0.515385,0.517119
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,90.5,90.33,0.0001,4,0.001,0.494219,0.50191
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,91.17,90.1,0.0001,5,0.001,0.480842,0.496187
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,91.21,90.42,0.0001,6,0.001,0.472108,0.493438
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,CNN,90.7,91.06,0.0001,7,0.001,0.463772,0.491371
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,89.47,85.93,0.0001,1,0.001,0.697066,0.609235
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,89.62,88.41,0.0001,2,0.001,0.573486,0.558963
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,89.71,88.93,0.0001,3,0.001,0.538941,0.540529
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.36,88.95,0.0001,4,0.001,0.522442,0.526812
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.29,89.43,0.0001,5,0.001,0.511928,0.52095
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.19,89.66,0.0001,6,0.001,0.503798,0.516957
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.72,89.35,0.0001,7,0.001,0.497017,0.514741
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,89.8,90.39,0.0001,8,0.001,0.49134,0.512634
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.11,90.33,0.0001,9,0.001,0.486108,0.510807
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,89.96,90.47,0.0001,10,0.001,0.481892,0.510298
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.72,89.8,0.0001,11,0.001,0.477797,0.508531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,89.82,90.7,0.0001,12,0.001,0.4739,0.509907
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.71,89.92,0.0001,13,0.001,0.470073,0.509457
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.48,90.18,0.0001,14,0.001,0.46681,0.508399
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.49,90.29,0.0001,15,0.001,0.463974,0.508224
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,CNN,90.65,90.17,0.0001,16,0.001,0.461157,0.508549
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,CNN,82.64,79.7,0.0001,1,0.001,0.879155,0.786389
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,CNN,85.23,79.48,0.0001,2,0.001,0.764662,0.748519
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,CNN,82.87,82.86,0.0001,3,0.001,0.739395,0.72972
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,CNN,83.41,82.91,0.0001,4,0.001,0.726176,0.719679
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,CNN,83.59,83.09,0.0001,5,0.001,0.717585,0.713203
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,CNN,85.4,81.51,0.0001,6,0.001,0.711703,0.709819
